compare,basehomo,similarity,baseline
世,黑,0.9947413,1
世,礼,0.9980312,1
世,乖,0.9929598,1
世,软,0.9970215,1
世,燕,0.9919824,1
世,区,0.9982219,1
世,消,0.9961654,1
世,钢,0.99868,1
世,伙,0.9955558,1
世,工,0.9987731,1
世,世,0.99778944,1
世,界,0.9980596,1
世,泪,0.9965993,1
世,化,0.98437357,1
世,绿,0.996599,1
世,询,0.99755573,1
世,木,0.98950547,1
世,计,0.9969769,1
世,敬,0.9969702,1
世,吴,0.9952648,1
世,导,0.9988139,1
世,尚,0.99382794,1
世,柔,0.9911695,1
世,称,0.99854684,1
世,秦,0.9835439,1
世,余,0.9914097,1
世,业,0.9972995,1
世,往,0.99619764,1
世,刘,0.9930528,1
世,条,0.9966801,1
世,嵩,0.99846554,1
世,更,0.9976445,1
世,案,0.9975984,1
世,内,0.99866647,1
世,命,0.98814243,1
世,哭,0.9915939,1
世,弄,0.9932419,1
世,利,0.99723774,1
世,选,0.9858061,1
世,搞,0.9924239,1
世,照,0.998499,1
世,祝,0.9979634,1
世,阿,0.9382851,1
世,迪,0.9931913,1
世,俩,0.9955024,1
世,尔,0.99800336,1
世,鸡,0.996106,1
世,梁,0.9958096,1
世,茹,0.9960105,1
世,短,0.996786,1
世,杨,0.9925727,1
世,徐,0.9884223,1
世,除,0.99656725,1
世,暑,0.9988319,1
世,体,0.9984656,1
世,排,0.9977734,1
世,泡,0.99609524,1
世,右,0.997509,1
世,舒,0.9977571,1
世,类,0.9976535,1
世,型,0.99654305,1
世,剧,0.99104154,1
世,郊,0.99573606,1
世,维,0.9962309,1
世,童,0.9927058,1
世,或,0.9986428,1
世,介,0.992477,1
世,强,0.9960924,1
世,座,0.99312186,1
世,冒,0.9965349,1
世,娃,0.9972291,1
世,武,0.9903602,1
世,闭,0.9974122,1
事,世,0.99778944,0
似,脑,0.9937934,1
似,术,0.99506396,1
似,印,0.99600446,1
似,良,0.9971155,1
似,似,0.9902418,1
似,河,0.9922074,1
似,治,0.99767464,1
似,楼,0.99469864,1
似,香,0.99427146,1
似,将,0.99551517,1
似,保,0.99650687,1
似,简,0.9970181,1
似,适,0.9983365,1
似,男,0.9974724,1
似,兵,0.99546295,1
似,俊,0.9971507,1
似,刮,0.9959526,1
似,标,0.996042,1
似,阳,0.9977733,1
似,弹,0.997988,1
似,装,0.9961624,1
似,望,0.99729043,1
似,卖,0.99796987,1
似,包,0.99729943,1
似,戏,0.9969024,1
似,背,0.9980723,1
似,低,0.9952199,1
似,速,0.9945671,1
似,奇,0.9966934,1
似,坐,0.99770373,1
似,未,0.9914117,1
似,黑,0.9947413,1
似,礼,0.9980312,1
似,乖,0.9929598,1
似,软,0.9970215,1
似,燕,0.9919824,1
似,区,0.9982219,1
似,消,0.9961654,1
似,钢,0.99868,1
似,伙,0.9955558,1
似,工,0.9987731,1
似,世,0.99778944,1
似,界,0.9980596,1
似,泪,0.9965993,1
似,化,0.98437357,1
似,绿,0.996599,1
似,询,0.99755573,1
似,木,0.98950547,1
似,计,0.9969769,1
似,敬,0.9969702,1
似,吴,0.9952648,1
似,导,0.9988139,1
似,尚,0.99382794,1
似,柔,0.9911695,1
似,称,0.99854684,1
似,秦,0.9835439,1
似,余,0.9914097,1
似,业,0.9972995,1
似,往,0.99619764,1
似,刘,0.9930528,1
似,条,0.9966801,1
似,嵩,0.99846554,1
似,更,0.9976445,1
似,案,0.9975984,1
似,内,0.99866647,1
似,命,0.98814243,1
似,哭,0.9915939,1
似,弄,0.9932419,1
似,利,0.99723774,1
似,选,0.9858061,1
似,搞,0.9924239,1
似,照,0.998499,1
似,祝,0.9979634,1
似,阿,0.9382851,1
似,迪,0.9931913,1
似,俩,0.9955024,1
似,尔,0.99800336,1
似,鸡,0.996106,1
似,梁,0.9958096,1
似,茹,0.9960105,1
似,短,0.996786,1
似,杨,0.9925727,1
似,徐,0.9884223,1
似,除,0.99656725,1
似,暑,0.9988319,1
似,体,0.9984656,1
似,排,0.9977734,1
似,泡,0.99609524,1
似,右,0.997509,1
似,舒,0.9977571,1
似,类,0.9976535,1
似,型,0.99654305,1
似,剧,0.99104154,1
似,郊,0.99573606,1
似,维,0.9962309,1
似,童,0.9927058,1
似,或,0.9986428,1
似,介,0.992477,1
似,强,0.9960924,1
似,座,0.99312186,1
似,冒,0.9965349,1
似,娃,0.9972291,1
似,武,0.9903602,1
似,闭,0.9974122,1
事,似,0.9902418,0
适,脑,0.9937934,1
适,术,0.99506396,1
适,印,0.99600446,1
适,良,0.9971155,1
适,似,0.9902418,1
适,河,0.9922074,1
适,治,0.99767464,1
适,楼,0.99469864,1
适,香,0.99427146,1
适,将,0.99551517,1
适,保,0.99650687,1
适,简,0.9970181,1
适,适,0.9983365,1
适,男,0.9974724,1
适,兵,0.99546295,1
适,俊,0.9971507,1
适,刮,0.9959526,1
适,标,0.996042,1
适,阳,0.9977733,1
适,弹,0.997988,1
适,装,0.9961624,1
适,望,0.99729043,1
适,卖,0.99796987,1
适,包,0.99729943,1
适,戏,0.9969024,1
适,背,0.9980723,1
适,低,0.9952199,1
适,速,0.9945671,1
适,奇,0.9966934,1
适,坐,0.99770373,1
适,未,0.9914117,1
适,黑,0.9947413,1
适,礼,0.9980312,1
适,乖,0.9929598,1
适,软,0.9970215,1
适,燕,0.9919824,1
适,区,0.9982219,1
适,消,0.9961654,1
适,钢,0.99868,1
适,伙,0.9955558,1
适,工,0.9987731,1
适,世,0.99778944,1
适,界,0.9980596,1
适,泪,0.9965993,1
适,化,0.98437357,1
适,绿,0.996599,1
适,询,0.99755573,1
适,木,0.98950547,1
适,计,0.9969769,1
适,敬,0.9969702,1
适,吴,0.9952648,1
适,导,0.9988139,1
适,尚,0.99382794,1
适,柔,0.9911695,1
适,称,0.99854684,1
适,秦,0.9835439,1
适,余,0.9914097,1
适,业,0.9972995,1
适,往,0.99619764,1
适,刘,0.9930528,1
适,条,0.9966801,1
适,嵩,0.99846554,1
适,更,0.9976445,1
适,案,0.9975984,1
适,内,0.99866647,1
适,命,0.98814243,1
适,哭,0.9915939,1
适,弄,0.9932419,1
适,利,0.99723774,1
适,选,0.9858061,1
适,搞,0.9924239,1
适,照,0.998499,1
适,祝,0.9979634,1
适,阿,0.9382851,1
适,迪,0.9931913,1
适,俩,0.9955024,1
适,尔,0.99800336,1
适,鸡,0.996106,1
适,梁,0.9958096,1
适,茹,0.9960105,1
适,短,0.996786,1
适,杨,0.9925727,1
适,徐,0.9884223,1
适,除,0.99656725,1
适,暑,0.9988319,1
适,体,0.9984656,1
适,排,0.9977734,1
适,泡,0.99609524,1
适,右,0.997509,1
适,舒,0.9977571,1
适,类,0.9976535,1
适,型,0.99654305,1
适,剧,0.99104154,1
适,郊,0.99573606,1
适,维,0.9962309,1
适,童,0.9927058,1
适,或,0.9986428,1
适,介,0.992477,1
适,强,0.9960924,1
适,座,0.99312186,1
适,冒,0.9965349,1
适,娃,0.9972291,1
适,武,0.9903602,1
适,闭,0.9974122,1
事,适,0.9983365,0
是,是,0.99977356,1
视,是,0.99977356,0
事,自,0.9997101,1
事,事,0.9997262,1
事,和,0.9997643,1
事,后,0.9997615,1
视,事,0.9997262,0
室,欢,0.9995802,1
室,热,0.9996222,1
室,室,0.99939466,1
室,分,0.99964917,1
室,名,0.9996261,1
视,室,0.99939466,0
氏,氏,0.9993756,1
氏,演,0.99941874,1
氏,经,0.9996932,1
氏,王,0.9994398,1
氏,风,0.999405,1
氏,告,0.99946755,1
氏,长,0.99955606,1
氏,呀,0.9993431,1
氏,意,0.9997395,1
氏,节,0.9996952,1
视,氏,0.9993756,0
市,色,0.99916035,1
市,种,0.9995106,1
市,习,0.9995147,1
市,准,0.99943465,1
市,头,0.99887466,1
市,始,0.99884343,1
市,司,0.99912673,1
市,外,0.9993856,1
市,联,0.99909514,1
市,市,0.9995454,1
市,嗯,0.9989156,1
市,加,0.9993209,1
市,英,0.9992908,1
市,注,0.99962944,1
市,醒,0.9990187,1
市,某,0.99943984,1
视,市,0.9995454,0
式,法,0.9994356,1
式,德,0.9987485,1
式,团,0.99892706,1
式,典,0.9990764,1
式,常,0.9989237,1
式,贝,0.9983504,1
式,转,0.99840724,1
式,闻,0.9989281,1
式,亮,0.99856347,1
式,练,0.999352,1
式,传,0.99893075,1
式,远,0.9991925,1
式,花,0.9981836,1
式,游,0.9986114,1
式,但,0.9990006,1
式,费,0.9982167,1
式,喝,0.9991345,1
式,受,0.9989158,1
式,夜,0.9983696,1
式,红,0.9984598,1
式,星,0.99919647,1
式,件,0.9991866,1
式,已,0.9992043,1
式,吉,0.9991281,1
